scenario,seed,n,model,AUROC,PR_AUC,Brier
moderate_signal,48,1500,LogisticRegression,0.6816,0.4431,0.2243
moderate_signal,49,1500,LogisticRegression,0.6557,0.3962,0.2302
moderate_signal,50,1500,LogisticRegression,0.6511,0.3973,0.2312
moderate_signal,51,1500,LogisticRegression,0.6906,0.4364,0.2222
moderate_signal,52,1500,LogisticRegression,0.6668,0.4054,0.2288
moderate_signal,53,1500,LogisticRegression,0.6544,0.4055,0.2313
moderate_signal,54,1500,LogisticRegression,0.6664,0.4203,0.2282
moderate_signal,55,1500,LogisticRegression,0.6465,0.3881,0.2324
moderate_signal,56,1500,LogisticRegression,0.6565,0.4161,0.2287
moderate_signal,57,1500,LogisticRegression,0.6615,0.4154,0.2288
moderate_signal,58,1500,LogisticRegression,0.6645,0.4263,0.2279
moderate_signal,59,1500,LogisticRegression,0.6919,0.4546,0.2207
moderate_signal,60,1500,LogisticRegression,0.6587,0.3927,0.2311
moderate_signal,61,1500,LogisticRegression,0.677,0.4287,0.2235
moderate_signal,62,1500,LogisticRegression,0.6668,0.4202,0.2276
moderate_signal,63,1500,LogisticRegression,0.6768,0.441,0.2238
moderate_signal,64,1500,LogisticRegression,0.6749,0.4265,0.2265
moderate_signal,65,1500,LogisticRegression,0.6795,0.437,0.2243
moderate_signal,66,1500,LogisticRegression,0.6543,0.3986,0.2312
moderate_signal,67,1500,LogisticRegression,0.6436,0.4048,0.2325
moderate_signal,68,1500,LogisticRegression,0.6911,0.4278,0.2229
moderate_signal,69,1500,LogisticRegression,0.6472,0.3787,0.2331
moderate_signal,70,1500,LogisticRegression,0.707,0.4628,0.2169
moderate_signal,71,1500,LogisticRegression,0.6458,0.4001,0.2318
moderate_signal,72,1500,LogisticRegression,0.6518,0.4154,0.2295
moderate_signal,73,1500,LogisticRegression,0.688,0.451,0.2219
moderate_signal,74,1500,LogisticRegression,0.6657,0.4335,0.2266
moderate_signal,75,1500,LogisticRegression,0.6616,0.4292,0.2276
moderate_signal,76,1500,LogisticRegression,0.6573,0.424,0.2302
moderate_signal,77,1500,LogisticRegression,0.6452,0.3938,0.2341
moderate_signal,78,1500,LogisticRegression,0.6579,0.4094,0.2282
moderate_signal,79,1500,LogisticRegression,0.6857,0.4265,0.2252
