scenario,mechanism,target_rate,actual_miss_rate,strategy,seed,AUROC,Brier,n_folds
MAR_bmi,MAR,0.1,0.0813,global_impute,13,0.5064,0.2518,5
MAR_bmi,MAR,0.1,0.0832,global_impute,14,0.5408,0.2492,5
MAR_bmi,MAR,0.1,0.0803,global_impute,15,0.5455,0.2488,5
MAR_bmi,MAR,0.1,0.084,global_impute,16,0.5247,0.2501,5
MAR_bmi,MAR,0.1,0.0812,global_impute,17,0.4909,0.2524,5
MAR_bmi,MAR,0.1,0.0833,global_impute,18,0.4952,0.2518,5
MAR_bmi,MAR,0.1,0.0873,global_impute,19,0.5064,0.251,5
MAR_bmi,MAR,0.1,0.0862,global_impute,20,0.5244,0.2509,5
MAR_tg0h,MAR,0.1,0.1038,fold_impute,1,0.4865,0.2526,5
MAR_tg0h,MAR,0.1,0.1012,fold_impute,2,0.4999,0.2518,5
MAR_tg0h,MAR,0.1,0.112,fold_impute,3,0.5121,0.2507,5
MAR_tg0h,MAR,0.1,0.102,fold_impute,4,0.5193,0.2504,5
MAR_tg0h,MAR,0.1,0.1058,fold_impute,5,0.482,0.2521,5
MAR_tg0h,MAR,0.1,0.0985,fold_impute,6,0.5089,0.2513,5
MAR_tg0h,MAR,0.1,0.1042,fold_impute,7,0.5011,0.2524,5
MAR_tg0h,MAR,0.1,0.0928,fold_impute,8,0.5045,0.2507,5
MAR_tg0h,MAR,0.1,0.0992,fold_impute,9,0.5059,0.2516,5
MAR_tg0h,MAR,0.1,0.0922,fold_impute,10,0.5248,0.2506,5
MAR_tg0h,MAR,0.1,0.1022,fold_impute,11,0.5232,0.2517,5
MAR_tg0h,MAR,0.1,0.1032,fold_impute,12,0.5154,0.2514,5
MAR_tg0h,MAR,0.1,0.1002,fold_impute,13,0.5049,0.2521,5
MAR_tg0h,MAR,0.1,0.1002,fold_impute,14,0.5317,0.2498,5
MAR_tg0h,MAR,0.1,0.1022,fold_impute,15,0.5413,0.2493,5
MAR_tg0h,MAR,0.1,0.0965,fold_impute,16,0.5236,0.2498,5
MAR_tg0h,MAR,0.1,0.0947,fold_impute,17,0.5306,0.2498,5
MAR_tg0h,MAR,0.1,0.0967,fold_impute,18,0.4945,0.2517,5
MAR_tg0h,MAR,0.1,0.1045,fold_impute,19,0.529,0.2497,5
MAR_tg0h,MAR,0.1,0.1067,fold_impute,20,0.5262,0.2509,5
MAR_tg0h,MAR,0.1,0.1038,global_impute,1,0.487,0.2527,5
MAR_tg0h,MAR,0.1,0.1012,global_impute,2,0.4992,0.2519,5
MAR_tg0h,MAR,0.1,0.112,global_impute,3,0.5114,0.2508,5
MAR_tg0h,MAR,0.1,0.102,global_impute,4,0.5197,0.2504,5
MAR_tg0h,MAR,0.1,0.1058,global_impute,5,0.4816,0.2521,5
MAR_tg0h,MAR,0.1,0.0985,global_impute,6,0.5098,0.2513,5
MAR_tg0h,MAR,0.1,0.1042,global_impute,7,0.5009,0.2524,5
MAR_tg0h,MAR,0.1,0.0928,global_impute,8,0.5043,0.2507,5
MAR_tg0h,MAR,0.1,0.0992,global_impute,9,0.5054,0.2516,5
MAR_tg0h,MAR,0.1,0.0922,global_impute,10,0.5255,0.2506,5
MAR_tg0h,MAR,0.1,0.1022,global_impute,11,0.5226,0.2518,5
MAR_tg0h,MAR,0.1,0.1032,global_impute,12,0.515,0.2515,5
MAR_tg0h,MAR,0.1,0.1002,global_impute,13,0.504,0.2522,5
MAR_tg0h,MAR,0.1,0.1002,global_impute,14,0.5321,0.2498,5
MAR_tg0h,MAR,0.1,0.1022,global_impute,15,0.541,0.2493,5
MAR_tg0h,MAR,0.1,0.0965,global_impute,16,0.5239,0.2498,5
MAR_tg0h,MAR,0.1,0.0947,global_impute,17,0.5293,0.25,5
MAR_tg0h,MAR,0.1,0.0967,global_impute,18,0.4943,0.2517,5
MAR_tg0h,MAR,0.1,0.1045,global_impute,19,0.529,0.2497,5
MAR_tg0h,MAR,0.1,0.1067,global_impute,20,0.5262,0.2508,5
