scenario,n,seed,clean_AUROC,clean_Brier,in_null_range,leaky_AUROC,leaky_Brier,auc_inflation
wbv_positive,750,4,0.84119,0.16229,0,,,
wbv_positive,750,5,0.83223,0.16712,0,,,
wbv_positive,750,6,0.84167,0.16264,0,,,
wbv_positive,750,7,0.83176,0.16669,0,,,
wbv_positive,750,8,0.84615,0.15891,0,,,
wbv_positive,750,9,0.83697,0.16518,0,,,
wbv_positive,750,10,0.82407,0.17369,0,,,
wbv_positive,750,11,0.87099,0.14942,0,,,
wbv_positive,750,12,0.82605,0.16997,0,,,
wbv_positive,750,13,0.81177,0.17799,0,,,
wbv_positive,750,14,0.81578,0.17393,0,,,
wbv_positive,750,15,0.81547,0.17409,0,,,
wbv_positive,750,16,0.83439,0.16819,0,,,
wbv_positive,750,17,0.82682,0.17337,0,,,
wbv_positive,750,18,0.83827,0.16152,0,,,
wbv_positive,750,19,0.85201,0.15842,0,,,
wbv_positive,750,20,0.82657,0.17028,0,,,
wbv_positive,750,21,0.82657,0.17034,0,,,
wbv_positive,750,22,0.82199,0.17149,0,,,
wbv_positive,750,23,0.83516,0.1665,0,,,
wbv_positive,750,24,0.81214,0.17709,0,,,
wbv_positive,750,25,0.8359,0.16753,0,,,
wbv_positive,750,26,0.81193,0.17317,0,,,
wbv_positive,750,27,0.81281,0.17476,0,,,
wbv_positive,750,28,0.87971,0.14395,0,,,
wbv_positive,750,29,0.83723,0.16431,0,,,
wbv_positive,750,30,0.8506,0.15619,0,,,
null,1500,1,0.51182,0.25093,1,,,
null,1500,2,0.47909,0.25252,1,,,
null,1500,3,0.52068,0.2512,1,,,
null,1500,4,0.49619,0.25129,1,,,
null,1500,5,0.48393,0.25181,1,,,
null,1500,6,0.50233,0.25163,1,,,
null,1500,7,0.48141,0.25339,1,,,
null,1500,8,0.49961,0.25126,1,,,
null,1500,9,0.4909,0.25293,1,,,
null,1500,10,0.52336,0.25012,1,,,
null,1500,11,0.52726,0.25147,1,,,
null,1500,12,0.53021,0.2493,1,,,
null,1500,13,0.50776,0.25158,1,,,
null,1500,14,0.52891,0.24938,1,,,
null,1500,15,0.53964,0.24883,1,,,
null,1500,16,0.51576,0.2513,1,,,
null,1500,17,0.50366,0.25161,1,,,
null,1500,18,0.4999,0.25116,1,,,
null,1500,19,0.48223,0.2517,1,,,
null,1500,20,0.51652,0.25136,1,,,
null,1500,21,0.46348,0.2531,1,,,
null,1500,22,0.51252,0.25073,1,,,
null,1500,23,0.43722,0.2538,0,,,
null,1500,24,0.50935,0.25128,1,,,
null,1500,25,0.53006,0.25045,1,,,
null,1500,26,0.52042,0.25034,1,,,
null,1500,27,0.53858,0.24891,1,,,
null,1500,28,0.504,0.25101,1,,,
null,1500,29,0.488,0.25224,1,,,
null,1500,30,0.43642,0.25636,0,,,
weak_signal,1500,1,0.60605,0.24108,0,,,
weak_signal,1500,2,0.58705,0.24332,0,,,
weak_signal,1500,3,0.59235,0.24368,0,,,
weak_signal,1500,4,0.55049,0.248,0,,,
weak_signal,1500,5,0.52661,0.25198,1,,,
weak_signal,1500,6,0.59191,0.24423,0,,,
weak_signal,1500,7,0.55906,0.24749,0,,,
weak_signal,1500,8,0.5992,0.24159,0,,,
weak_signal,1500,9,0.59636,0.244,0,,,
weak_signal,1500,10,0.55079,0.24748,0,,,
weak_signal,1500,11,0.58688,0.24318,0,,,
weak_signal,1500,12,0.5704,0.24545,0,,,
weak_signal,1500,13,0.55968,0.24837,0,,,
weak_signal,1500,14,0.5825,0.24452,0,,,
weak_signal,1500,15,0.57039,0.24687,0,,,
weak_signal,1500,16,0.55994,0.24724,0,,,
weak_signal,1500,17,0.53486,0.24937,1,,,
weak_signal,1500,18,0.53939,0.24872,1,,,
weak_signal,1500,19,0.60183,0.24315,0,,,
weak_signal,1500,20,0.62625,0.23836,0,,,
weak_signal,1500,21,0.57105,0.24688,0,,,
weak_signal,1500,22,0.61065,0.23954,0,,,
weak_signal,1500,23,0.59549,0.24408,0,,,
weak_signal,1500,24,0.60198,0.24146,0,,,
weak_signal,1500,25,0.58366,0.24451,0,,,
weak_signal,1500,26,0.56902,0.24645,0,,,
weak_signal,1500,27,0.61647,0.23917,0,,,
weak_signal,1500,28,0.61652,0.23898,0,,,
weak_signal,1500,29,0.57397,0.24392,0,,,
weak_signal,1500,30,0.56952,0.24641,0,,,
moderate_signal,1500,1,0.70007,0.21799,0,,,
moderate_signal,1500,2,0.67764,0.22535,0,,,
moderate_signal,1500,3,0.69827,0.21847,0,,,
moderate_signal,1500,4,0.66726,0.22585,0,,,
moderate_signal,1500,5,0.64764,0.23316,0,,,
moderate_signal,1500,6,0.68115,0.22288,0,,,
moderate_signal,1500,7,0.65253,0.23165,0,,,
moderate_signal,1500,8,0.7058,0.21731,0,,,
moderate_signal,1500,9,0.69023,0.22256,0,,,
moderate_signal,1500,10,0.66808,0.22602,0,,,
moderate_signal,1500,11,0.68118,0.22292,0,,,
moderate_signal,1500,12,0.6865,0.22275,0,,,
