pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
leaky_discharge_location,SVM,16,0.9856172760561972,0.6031230886558789,5,eICU,label24h
leaky_discharge_location,XGBoost,16,0.9894578142244462,0.7296489981060783,5,eICU,label24h
leaky_discharge_location,LogisticRegression,17,0.9857131973750329,0.6082851003241465,5,eICU,label24h
leaky_discharge_location,RandomForest,17,0.9876253513096911,0.6859066544267612,5,eICU,label24h
leaky_discharge_location,SVM,17,0.9855593164947305,0.6007040880073194,5,eICU,label24h
leaky_discharge_location,XGBoost,17,0.9892931121317762,0.727308425154612,5,eICU,label24h
leaky_discharge_location,LogisticRegression,18,0.9857169468040399,0.6094057723396008,5,eICU,label24h
leaky_discharge_location,RandomForest,18,0.9876429125265325,0.684934768326879,5,eICU,label24h
leaky_discharge_location,SVM,18,0.9855689627502388,0.6022492496062083,5,eICU,label24h
leaky_discharge_location,XGBoost,18,0.9894273528845243,0.7296526718113759,5,eICU,label24h
leaky_discharge_location,LogisticRegression,19,0.9857873120530403,0.6102956392835235,5,eICU,label24h
leaky_discharge_location,RandomForest,19,0.9877278733656322,0.6878683155311623,5,eICU,label24h
leaky_discharge_location,SVM,19,0.9856241703229337,0.6027404178723652,5,eICU,label24h
leaky_discharge_location,XGBoost,19,0.9894178333965848,0.7290850929597564,5,eICU,label24h
leaky_discharge_location,LogisticRegression,20,0.9857847639187295,0.6099403301972354,5,eICU,label24h
leaky_discharge_location,RandomForest,20,0.9875974932682116,0.6849844064141317,5,eICU,label24h
leaky_discharge_location,SVM,20,0.985613510652397,0.6023788440895406,5,eICU,label24h
leaky_discharge_location,XGBoost,20,0.9893887992082107,0.7289509013547324,5,eICU,label24h
leaky_discharge_location,LogisticRegression,21,0.9857671623711761,0.6089819722625907,5,eICU,label24h
leaky_discharge_location,RandomForest,21,0.9876444691752113,0.6865878326093751,5,eICU,label24h
leaky_discharge_location,SVM,21,0.9856281104518608,0.6020352342097437,5,eICU,label24h
leaky_discharge_location,XGBoost,21,0.9893972852871933,0.7284847441550151,5,eICU,label24h
leaky_discharge_location,LogisticRegression,22,0.9858003251498915,0.610101635571197,5,eICU,label24h
leaky_discharge_location,RandomForest,22,0.9876216576730131,0.6860697401471286,5,eICU,label24h
leaky_discharge_location,SVM,22,0.9856404286960944,0.6025491310302178,5,eICU,label24h
leaky_discharge_location,XGBoost,22,0.9894389112820472,0.7296333790045454,5,eICU,label24h
leaky_discharge_location,LogisticRegression,23,0.9857200783102718,0.6094930941172974,5,eICU,label24h
leaky_discharge_location,RandomForest,23,0.9875666479139099,0.6848140680317257,5,eICU,label24h
leaky_discharge_location,SVM,23,0.9855709785956895,0.6025634939900949,5,eICU,label24h
leaky_discharge_location,XGBoost,23,0.9893624784585265,0.7279936524525326,5,eICU,label24h
leaky_discharge_location,LogisticRegression,24,0.9857763395070485,0.6097480749555896,5,eICU,label24h
leaky_discharge_location,RandomForest,24,0.987550323951638,0.6843918642998197,5,eICU,label24h
leaky_discharge_location,SVM,24,0.9856168434007623,0.602546411674268,5,eICU,label24h
leaky_discharge_location,XGBoost,24,0.9893906372494825,0.7274111747606216,5,eICU,label24h
leaky_discharge_location,LogisticRegression,25,0.9857572473467441,0.6098651496859289,5,eICU,label24h
leaky_discharge_location,RandomForest,25,0.9876569541815071,0.6861861053894334,5,eICU,label24h
leaky_discharge_location,SVM,25,0.9856066809816003,0.6024541720510903,5,eICU,label24h
leaky_discharge_location,XGBoost,25,0.9894039696055124,0.7293745105422952,5,eICU,label24h
leaky_discharge_location,LogisticRegression,26,0.9857394186107378,0.6092562578609884,5,eICU,label24h
leaky_discharge_location,RandomForest,26,0.987547511113991,0.6838079620713595,5,eICU,label24h
leaky_discharge_location,SVM,26,0.9855900005107019,0.6018965087625741,5,eICU,label24h
leaky_discharge_location,XGBoost,26,0.9892879507407677,0.7278307655042252,5,eICU,label24h
leaky_discharge_location,LogisticRegression,27,0.9857978861604446,0.6102042041761295,5,eICU,label24h
leaky_discharge_location,RandomForest,27,0.9875754280733023,0.6833479978038164,5,eICU,label24h
leaky_discharge_location,SVM,27,0.9856472331129156,0.6032884436437371,5,eICU,label24h
leaky_discharge_location,XGBoost,27,0.9893437834538711,0.7276601578422357,5,eICU,label24h
leaky_discharge_location,LogisticRegression,28,0.9857870726479184,0.6101675021660599,5,eICU,label24h
leaky_discharge_location,RandomForest,28,0.987525960569753,0.6838778555702594,5,eICU,label24h
